Ⴁ	b AL
აირადი	ɑ AJ i AJ r BA ɑ AJ d AH i AJ
აირი	ɑ AJ i AJ r BA i AJ
აირღუმელი	ɑ AJ i AJ r BA ɣ BC u AK m AD ɛ AJ l AC i AJ
აირწინაღი	ɑ AJ i AJ r BA t AH sʼ BF i AJ n AE ɑ AJ ɣ BC i AJ
აისბერგი	ɑ AJ i AJ s AG b AL ɛ AJ r BA ɡ BD i AJ
აისი	ɑ AJ i AJ s AG i AJ
აკადემია	ɑ AJ kʼ AM ɑ AJ d AH ɛ AJ m AD i AJ ɑ AJ
აკადემიად	ɑ AJ kʼ AM ɑ AJ d AH ɛ AJ m AD i AJ ɑ AJ d AH
აკადემიამ	ɑ AJ kʼ AM ɑ AJ d AH ɛ AJ m AD i AJ ɑ AJ m AD
აკადემიას	ɑ AJ kʼ AM ɑ AJ d AH ɛ AJ m AD i AJ ɑ AJ s AG
აკადემიით	ɑ AJ kʼ AM ɑ AJ d AH ɛ AJ m AD i AJ i AJ tʰ AI
აკადემიის	ɑ AJ kʼ AM ɑ AJ d AH ɛ AJ m AD i AJ i AJ s AG
აკადემიკოსი	ɑ AJ kʼ AM ɑ AJ d AH ɛ AJ m AD i AJ kʼ AM ɔ AK s AG i AJ
აკადემიურად	ɑ AJ kʼ AM ɑ AJ d AH ɛ AJ m AD i AJ u AK r BA ɑ AJ d AH
აკადემიური	ɑ AJ kʼ AM ɑ AJ d AH ɛ AJ m AD i AJ u AK r BA i AJ
აკაზმულობა	ɑ AJ kʼ AM ɑ AJ z AG m AD u AK l AC ɔ AK b AL ɑ AJ
აკაკი	ɑ AJ kʼ AM ɑ AJ kʼ AM i AJ
აკაკუნებს	ɑ AJ kʼ AM ɑ AJ kʼ AM u AK n AE ɛ AJ b AL s AG
აკანკალებული	ɑ AJ kʼ AM ɑ AJ n AE kʼ AM ɑ AJ l AC ɛ AJ b AL u AK l AC i AJ
აკაჟუ	ɑ AJ kʼ AM ɑ AJ ʒ AG u AK
აკაცია	ɑ AJ kʼ AM ɑ AJ t AH s AG i AJ ɑ AJ
აკეთებს	ɑ AJ kʼ AM ɛ AJ tʰ AI ɛ AJ b AL s AG
აკერებს	ɑ AJ kʼ AM ɛ AJ r BA ɛ AJ b AL s AG
აკვალანგი	ɑ AJ kʼ AM v BE ɑ AJ l AC ɑ AJ n AE ɡ BD i AJ
აკვამარინი	ɑ AJ kʼ AM v BE ɑ AJ m AD ɑ AJ r BA i AJ n AE i AJ
აკვანთა	ɑ AJ kʼ AM v BE ɑ AJ n AE tʰ AI ɑ AJ
აკვანი	ɑ AJ kʼ AM v BE ɑ AJ n AE i AJ
აკვანმა	ɑ AJ kʼ AM v BE ɑ AJ n AE m AD ɑ AJ
აკვანნი	ɑ AJ kʼ AM v BE ɑ AJ n AE n AE i AJ
აკვანნო	ɑ AJ kʼ AM v BE ɑ AJ n AE n AE ɔ AK
აკვანო	ɑ AJ kʼ AM v BE ɑ AJ n AE ɔ AK
აკვანს	ɑ AJ kʼ AM v BE ɑ AJ n AE s AG
აკვარელი	ɑ AJ kʼ AM v BE ɑ AJ r BA ɛ AJ l AC i AJ
აკვარელისტი	ɑ AJ kʼ AM v BE ɑ AJ r BA ɛ AJ l AC i AJ s AG tʼ BB i AJ
აკვარიუმი	ɑ AJ kʼ AM v BE ɑ AJ r BA i AJ u AK m AD i AJ
აკვდება	ɑ AJ kʼ AM v BE d AH ɛ AJ b AL ɑ AJ
აკვედუკი	ɑ AJ kʼ AM v BE ɛ AJ d AH u AK kʼ AM i AJ
აკვიატება	ɑ AJ kʼ AM v BE i AJ ɑ AJ tʼ BB ɛ AJ b AL ɑ AJ
აკვიატებულად	ɑ AJ kʼ AM v BE i AJ ɑ AJ tʼ BB ɛ AJ b AL u AK l AC ɑ AJ d AH
აკვიატებული	ɑ AJ kʼ AM v BE i AJ ɑ AJ tʼ BB ɛ AJ b AL u AK l AC i AJ
აკვირვებს	ɑ AJ kʼ AM v BE i AJ r BA v BE ɛ AJ b AL s AG
აკვნად	ɑ AJ kʼ AM v BE n AE ɑ AJ d AH
აკვნებად	ɑ AJ kʼ AM v BE n AE ɛ AJ b AL ɑ AJ d AH
აკვნები	ɑ AJ kʼ AM v BE n AE ɛ AJ b AL i AJ
აკვნებით	ɑ AJ kʼ AM v BE n AE ɛ AJ b AL i AJ tʰ AI
აკვნების	ɑ AJ kʼ AM v BE n AE ɛ AJ b AL i AJ s AG
აკვნებმა	ɑ AJ kʼ AM v BE n AE ɛ AJ b AL m AD ɑ AJ
აკვნებო	ɑ AJ kʼ AM v BE n AE ɛ AJ b AL ɔ AK
აკვნებს	ɑ AJ kʼ AM v BE n AE ɛ AJ b AL s AG
აკვნით	ɑ AJ kʼ AM v BE n AE i AJ tʰ AI
აკვნის	ɑ AJ kʼ AM v BE n AE i AJ s AG
აკვრევინებს	ɑ AJ kʼ AM v BE r BA ɛ AJ v BE i AJ n AE ɛ AJ b AL s AG
აკლდამა	ɑ AJ kʼ AM l AC d AH ɑ AJ m AD ɑ AJ
აკლებს	ɑ AJ kʼ AM l AC ɛ AJ b AL s AG
აკლია	ɑ AJ kʼ AM l AC i AJ ɑ AJ
აკორდეონი	ɑ AJ kʼ AM ɔ AK r BA d AH ɛ AJ ɔ AK n AE i AJ
აკრავს	ɑ AJ kʼ AM r BA ɑ AJ v BE s AG
აკრი	ɑ AJ kʼ AM r BA i AJ
აკრისტალებს	ɑ AJ kʼ AM r BA i AJ s AG tʼ BB ɑ AJ l AC ɛ AJ b AL s AG
აკრიფეთ	ɑ AJ kʼ AM r BA i AJ pʰ AF ɛ AJ tʰ AI
აკრობატი	ɑ AJ kʼ AM r BA ɔ AK b AL ɑ AJ tʼ BB i AJ
აკრობატიკა	ɑ AJ kʼ AM r BA ɔ AK b AL ɑ AJ tʼ BB i AJ kʼ AM ɑ AJ
აკროპოლისი	ɑ AJ kʼ AM r BA ɔ AK pʼ AN ɔ AK l AC i AJ s AG i AJ
აკროსტიქი	ɑ AJ kʼ AM r BA ɔ AK s AG tʼ BB i AJ kʰ AB i AJ
აკრძალვა	ɑ AJ kʼ AM r BA d AH z AG ɑ AJ l AC v BE ɑ AJ
აკრძალვითად	ɑ AJ kʼ AM r BA d AH z AG ɑ AJ l AC v BE i AJ tʰ AI ɑ AJ d AH
აკრძალვითი	ɑ AJ kʼ AM r BA d AH z AG ɑ AJ l AC v BE i AJ tʰ AI i AJ
აკრძალული	ɑ AJ kʼ AM r BA d AH z AG ɑ AJ l AC u AK l AC i AJ
აკუთა	ɑ AJ kʼ AM u AK tʰ AI ɑ AJ
აკუმულატორი	ɑ AJ kʼ AM u AK m AD u AK l AC ɑ AJ tʼ BB ɔ AK r BA i AJ
აკურატულად	ɑ AJ kʼ AM u AK r BA ɑ AJ tʼ BB u AK l AC ɑ AJ d AH
აკურატული	ɑ AJ kʼ AM u AK r BA ɑ AJ tʼ BB u AK l AC i AJ
აკურატულობა	ɑ AJ kʼ AM u AK r BA ɑ AJ tʼ BB u AK l AC ɔ AK b AL ɑ AJ
აკურთხებს	ɑ AJ kʼ AM u AK r BA tʰ AI x BC ɛ AJ b AL s AG
აკუსტიკა	ɑ AJ kʼ AM u AK s AG tʼ BB i AJ kʼ AM ɑ AJ
აკუსტიკური	ɑ AJ kʼ AM u AK s AG tʼ BB i AJ kʼ AM u AK r BA i AJ
ალაგებს	ɑ AJ l AC ɑ AJ ɡ BD ɛ AJ b AL s AG
ალაგი	ɑ AJ l AC ɑ AJ ɡ BD i AJ
ალადასტური	ɑ AJ l AC ɑ AJ d AH ɑ AJ s AG tʼ BB u AK r BA i AJ
ალადინი	ɑ AJ l AC ɑ AJ d AH i AJ n AE i AJ
ალავერდი	ɑ AJ l AC ɑ AJ v BE ɛ AJ r BA d AH i AJ
ალაზანი	ɑ AJ l AC ɑ AJ z AG ɑ AJ n AE i AJ
ალალბედზე	ɑ AJ l AC ɑ AJ l AC b AL ɛ AJ d AH z AG ɛ AJ
ალალი	ɑ AJ l AC ɑ AJ l AC i AJ
ალალმართლად	ɑ AJ l AC ɑ AJ l AC m AD ɑ AJ r BA tʰ AI l AC ɑ AJ d AH
ალალმართლობა	ɑ AJ l AC ɑ AJ l AC m AD ɑ AJ r BA tʰ AI l AC ɔ AK b AL ɑ AJ
ალამი	ɑ AJ l AC ɑ AJ m AD i AJ
ალაო	ɑ AJ l AC ɑ AJ ɔ AK
ალასანია	ɑ AJ l AC ɑ AJ s AG ɑ AJ n AE i AJ ɑ AJ
ალაფი	ɑ AJ l AC ɑ AJ pʰ AF i AJ
ალაჰი	ɑ AJ l AC ɑ AJ h AA i AJ
ალბათ	ɑ AJ l AC b AL ɑ AJ tʰ AI
ალბათობა	ɑ AJ l AC b AL ɑ AJ tʰ AI ɔ AK b AL ɑ AJ
ალბანეთი	ɑ AJ l AC b AL ɑ AJ n AE ɛ AJ tʰ AI i AJ
ალბანური	ɑ AJ l AC b AL ɑ AJ n AE u AK r BA i AJ
ალბატროსი	ɑ AJ l AC b AL ɑ AJ tʼ BB r BA ɔ AK s AG i AJ
ალბერტი	ɑ AJ l AC b AL ɛ AJ r BA tʼ BB i AJ
ალბინოსი	ɑ AJ l AC b AL i AJ n AE ɔ AK s AG i AJ
ალბომად	ɑ AJ l AC b AL ɔ AK m AD ɑ AJ d AH
ალბომი	ɑ AJ l AC b AL ɔ AK m AD i AJ
ალბომით	ɑ AJ l AC b AL ɔ AK m AD i AJ tʰ AI
ალბომის	ɑ AJ l AC b AL ɔ AK m AD i AJ s AG
ალბომმა	ɑ AJ l AC b AL ɔ AK m AD m AD ɑ AJ
ალბომს	ɑ AJ l AC b AL ɔ AK m AD s AG
ალგებრა	ɑ AJ l AC ɡ BD ɛ AJ b AL r BA ɑ AJ
ალგებრულად	ɑ AJ l AC ɡ BD ɛ AJ b AL r BA u AK l AC ɑ AJ d AH
ალგებრული	ɑ AJ l AC ɡ BD ɛ AJ b AL r BA u AK l AC i AJ
ალგორითმი	ɑ AJ l AC ɡ BD ɔ AK r BA i AJ tʰ AI m AD i AJ
ალდატი	ɑ AJ l AC d AH ɑ AJ tʼ BB i AJ
ალებასტრი	ɑ AJ l AC ɛ AJ b AL ɑ AJ s AG tʼ BB r BA i AJ
ალეგორია	ɑ AJ l AC ɛ AJ ɡ BD ɔ AK r BA i AJ ɑ AJ
ალეგორიული	ɑ AJ l AC ɛ AJ ɡ BD ɔ AK r BA i AJ u AK l AC i AJ
ალეპო	ɑ AJ l AC ɛ AJ pʼ AN ɔ AK
ალერგია	ɑ AJ l AC ɛ AJ r BA ɡ BD i AJ ɑ AJ
ალერგიული	ɑ AJ l AC ɛ AJ r BA ɡ BD i AJ u AK l AC i AJ
ალერსად	ɑ AJ l AC ɛ AJ r BA s AG ɑ AJ d AH
ალერსი	ɑ AJ l AC ɛ AJ r BA s AG i AJ
ალერსიანი	ɑ AJ l AC ɛ AJ r BA s AG i AJ ɑ AJ n AE i AJ
ალერსით	ɑ AJ l AC ɛ AJ r BA s AG i AJ tʰ AI
ალერსის	ɑ AJ l AC ɛ AJ r BA s AG i AJ s AG
ალერსმა	ɑ AJ l AC ɛ AJ r BA s AG m AD ɑ AJ
ალერსო	ɑ AJ l AC ɛ AJ r BA s AG ɔ AK
ალერსს	ɑ AJ l AC ɛ AJ r BA s AG s AG
ალექსანდრა	ɑ AJ l AC ɛ AJ kʰ AB s AG ɑ AJ n AE d AH r BA ɑ AJ
ალექსანდრე	ɑ AJ l AC ɛ AJ kʰ AB s AG ɑ AJ n AE d AH r BA ɛ AJ
ალექსანდრია	ɑ AJ l AC ɛ AJ kʰ AB s AG ɑ AJ n AE d AH r BA i AJ ɑ AJ
ალვა	ɑ AJ l AC v BE ɑ AJ
ალვეოლური	ɑ AJ l AC v BE ɛ AJ ɔ AK l AC u AK r BA i AJ
ალი	ɑ AJ l AC i AJ
ალიაქოთი	ɑ AJ l AC i AJ ɑ AJ kʰ AB ɔ AK tʰ AI i AJ
ალიბი	ɑ AJ l AC i AJ b AL i AJ
ალიგატორი	ɑ AJ l AC i AJ ɡ BD ɑ AJ tʼ BB ɔ AK r BA i AJ
ალიზი	ɑ AJ l AC i AJ z AG i AJ
ალიკაპი	ɑ AJ l AC i AJ kʼ AM ɑ AJ pʼ AN i AJ
ალიონი	ɑ AJ l AC i AJ ɔ AK n AE i AJ
ალისფერი	ɑ AJ l AC i AJ s AG pʰ AF ɛ AJ r BA i AJ
ალიტერაცია	ɑ AJ l AC i AJ tʼ BB ɛ AJ r BA ɑ AJ t AH s AG i AJ ɑ AJ
ალიტერაციული	ɑ AJ l AC i AJ tʼ BB ɛ AJ r BA ɑ AJ t AH s AG i AJ u AK l AC i AJ
ალკოჰოლი	ɑ AJ l AC kʼ AM ɔ AK h AA ɔ AK l AC i AJ
ალკოჰოლიანი	ɑ AJ l AC kʼ AM ɔ AK h AA ɔ AK l AC i AJ ɑ AJ n AE i AJ
ალკოჰოლიზმი	ɑ AJ l AC kʼ AM ɔ AK h AA ɔ AK l AC i AJ z AG m AD i AJ
ალკოჰოლური	ɑ AJ l AC kʼ AM ɔ AK h AA ɔ AK l AC u AK r BA i AJ
ალმანახი	ɑ AJ l AC m AD ɑ AJ n AE ɑ AJ x BC i AJ
ალმასი	ɑ AJ l AC m AD ɑ AJ s AG i AJ
ალმატი	ɑ AJ l AC m AD ɑ AJ tʼ BB i AJ
ალმოდებული	ɑ AJ l AC m AD ɔ AK d AH ɛ AJ b AL u AK l AC i AJ
ალმური	ɑ AJ l AC m AD u AK r BA i AJ
ალო	ɑ AJ l AC ɔ AK
ალოე	ɑ AJ l AC ɔ AK ɛ AJ
ალპინიზმი	ɑ AJ l AC pʼ AN i AJ n AE i AJ z AG m AD i AJ
ალპინისტი	ɑ AJ l AC pʼ AN i AJ n AE i AJ s AG tʼ BB i AJ
ალპური	ɑ AJ l AC pʼ AN u AK r BA i AJ
ალჟირი	ɑ AJ l AC ʒ AG i AJ r BA i AJ
ალტერნატივა	ɑ AJ l AC tʼ BB ɛ AJ r BA n AE ɑ AJ tʼ BB i AJ v BE ɑ AJ
ალტერნატიულად	ɑ AJ l AC tʼ BB ɛ AJ r BA n AE ɑ AJ tʼ BB i AJ u AK l AC ɑ AJ d AH
ალტერნატიული	ɑ AJ l AC tʼ BB ɛ AJ r BA n AE ɑ AJ tʼ BB i AJ u AK l AC i AJ
ალტი	ɑ AJ l AC tʼ BB i AJ
ალტიმეტრი	ɑ AJ l AC tʼ BB i AJ m AD ɛ AJ tʼ BB r BA i AJ
ალტრუიზმი	ɑ AJ l AC tʼ BB r BA u AK i AJ z AG m AD i AJ
ალტრუისტი	ɑ AJ l AC tʼ BB r BA u AK i AJ s AG tʼ BB i AJ
ალტრუისტულად	ɑ AJ l AC tʼ BB r BA u AK i AJ s AG tʼ BB u AK l AC ɑ AJ d AH
ალტრუისტული	ɑ AJ l AC tʼ BB r BA u AK i AJ s AG tʼ BB u AK l AC i AJ
ალუბალი	ɑ AJ l AC u AK b AL ɑ AJ l AC i AJ
ალუვიური	ɑ AJ l AC u AK v BE i AJ u AK r BA i AJ
ალუმინი	ɑ AJ l AC u AK m AD i AJ n AE i AJ
ალუჩა	ɑ AJ l AC u AK t AH ʃ AG ɑ AJ
ალფა	ɑ AJ l AC pʰ AF ɑ AJ
ალქატი	ɑ AJ l AC kʰ AB ɑ AJ tʼ BB i AJ
ალქიმია	ɑ AJ l AC kʰ AB i AJ m AD i AJ ɑ AJ
ალქიმიკოსი	ɑ AJ l AC kʰ AB i AJ m AD i AJ kʼ AM ɔ AK s AG i AJ
ალღო	ɑ AJ l AC ɣ BC ɔ AK
ალყა	ɑ AJ l AC qʼ AM ɑ AJ
ამ	ɑ AJ m AD
ამაგი	ɑ AJ m AD ɑ AJ ɡ BD i AJ
ამაზე	ɑ AJ m AD ɑ AJ z AG ɛ AJ
ამალა	ɑ AJ m AD ɑ AJ l AC ɑ AJ
ამალგამა	ɑ AJ m AD ɑ AJ l AC ɡ BD ɑ AJ m AD ɑ AJ
ამანათი	ɑ AJ m AD ɑ AJ n AE ɑ AJ tʰ AI i AJ
ამაო	ɑ AJ m AD ɑ AJ ɔ AK
ამაოდ	ɑ AJ m AD ɑ AJ ɔ AK d AH
ამაოება	ɑ AJ m AD ɑ AJ ɔ AK ɛ AJ b AL ɑ AJ
ამართლებს	ɑ AJ m AD ɑ AJ r BA tʰ AI l AC ɛ AJ b AL s AG
ამარილისი	ɑ AJ m AD ɑ AJ r BA i AJ l AC i AJ s AG i AJ
ამას	ɑ AJ m AD ɑ AJ s AG
ამასთან	ɑ AJ m AD ɑ AJ s AG tʰ AI ɑ AJ n AE
ამატებს	ɑ AJ m AD ɑ AJ tʼ BB ɛ AJ b AL s AG
ამაღელვებელი	ɑ AJ m AD ɑ AJ ɣ BC ɛ AJ l AC v BE ɛ AJ b AL ɛ AJ l AC i AJ
ამაღელვებლად	ɑ AJ m AD ɑ AJ ɣ BC ɛ AJ l AC v BE ɛ AJ b AL l AC ɑ AJ d AH
ამაღლებულად	ɑ AJ m AD ɑ AJ ɣ BC l AC ɛ AJ b AL u AK l AC ɑ AJ d AH
ამაღლებული	ɑ AJ m AD ɑ AJ ɣ BC l AC ɛ AJ b AL u AK l AC i AJ
ამაღლებულობა	ɑ AJ m AD ɑ AJ ɣ BC l AC ɛ AJ b AL u AK l AC ɔ AK b AL ɑ AJ
ამაყად	ɑ AJ m AD ɑ AJ qʼ AM ɑ AJ d AH
ამაყი	ɑ AJ m AD ɑ AJ qʼ AM i AJ
ამაში	ɑ AJ m AD ɑ AJ ʃ AG i AJ
ამახინჯებს	ɑ AJ m AD ɑ AJ x BC i AJ n AE d AH ʒ AG ɛ AJ b AL s AG
ამბავი	ɑ AJ m AD b AL ɑ AJ v BE i AJ
ამბიცია	ɑ AJ m AD b AL i AJ t AH s AG i AJ ɑ AJ
ამბობს	ɑ AJ m AD b AL ɔ AK b AL s AG
ამბორი	ɑ AJ m AD b AL ɔ AK r BA i AJ
ამბოხება	ɑ AJ m AD b AL ɔ AK x BC ɛ AJ b AL ɑ AJ
ამბოხებული	ɑ AJ m AD b AL ɔ AK x BC ɛ AJ b AL u AK l AC i AJ
ამბოხი	ɑ AJ m AD b AL ɔ AK x BC i AJ
ამბრაზურა	ɑ AJ m AD b AL r BA ɑ AJ z AG u AK r BA ɑ AJ
ამდენად	ɑ AJ m AD d AH ɛ AJ n AE ɑ AJ d AH
ამეთვისტო	ɑ AJ m AD ɛ AJ tʰ AI v BE i AJ s AG tʼ BB ɔ AK
ამერიკა	ɑ AJ m AD ɛ AJ r BA i AJ kʼ AM ɑ AJ
ამერიკად	ɑ AJ m AD ɛ AJ r BA i AJ kʼ AM ɑ AJ d AH
ამერიკამ	ɑ AJ m AD ɛ AJ r BA i AJ kʼ AM ɑ AJ m AD
ამერიკანიზმი	ɑ AJ m AD ɛ AJ r BA i AJ kʼ AM ɑ AJ n AE i AJ z AG m AD i AJ
ამერიკას	ɑ AJ m AD ɛ AJ r BA i AJ kʼ AM ɑ AJ s AG
ამერიკელი	ɑ AJ m AD ɛ AJ r BA i AJ kʼ AM ɛ AJ l AC i AJ
ამერიკით	ɑ AJ m AD ɛ AJ r BA i AJ kʼ AM i AJ tʰ AI
ამერიკის	ɑ AJ m AD ɛ AJ r BA i AJ kʼ AM i AJ s AG
ამერიკული	ɑ AJ m AD ɛ AJ r BA i AJ kʼ AM u AK l AC i AJ
ამზადებს	ɑ AJ m AD z AG ɑ AJ d AH ɛ AJ b AL s AG
ამთავრებს	ɑ AJ m AD tʰ AI ɑ AJ v BE r BA ɛ AJ b AL s AG
ამთვისებელი	ɑ AJ m AD tʰ AI v BE i AJ s AG ɛ AJ b AL ɛ AJ l AC i AJ
ამთქნარებს	ɑ AJ m AD tʰ AI kʰ AB n AE ɑ AJ r BA ɛ AJ b AL s AG
ამიაკი	ɑ AJ m AD i AJ ɑ AJ kʼ AM i AJ
ამიერიდან	ɑ AJ m AD i AJ ɛ AJ r BA i AJ d AH ɑ AJ n AE
ამიერკავკასია	ɑ AJ m AD i AJ ɛ AJ r BA kʼ AM ɑ AJ v BE kʼ AM ɑ AJ s AG i AJ ɑ AJ
ამით	ɑ AJ m AD i AJ tʰ AI
ამინ	ɑ AJ m AD i AJ n AE
ამინდი	ɑ AJ m AD i AJ n AE d AH i AJ
ამირა	ɑ AJ m AD i AJ r BA ɑ AJ
ამირანი	ɑ AJ m AD i AJ r BA ɑ AJ n AE i AJ
ამირი	ɑ AJ m AD i AJ r BA i AJ
ამისულაშვილი	ɑ AJ m AD i AJ s AG u AK l AC ɑ AJ ʃ AG v BE i AJ l AC i AJ
ამიტომ	ɑ AJ m AD i AJ tʼ BB ɔ AK m AD
ამიტომაც	ɑ AJ m AD i AJ tʼ BB ɔ AK m AD ɑ AJ t AH s AG
ამკობს	ɑ AJ m AD kʼ AM ɔ AK b AL s AG
ამლევი	ɑ AJ m AD l AC ɛ AJ v BE i AJ
ამნეზია	ɑ AJ m AD n AE ɛ AJ z AG i AJ ɑ AJ
ამნისტია	ɑ AJ m AD n AE i AJ s AG tʼ BB i AJ ɑ AJ
ამობურცული	ɑ AJ m AD ɔ AK b AL u AK r BA t AH s AG u AK l AC i AJ
ამოდის	ɑ AJ m AD ɔ AK d AH i AJ s AG
ამოზნექილად	ɑ AJ m AD ɔ AK z AG n AE ɛ AJ kʰ AB i AJ l AC ɑ AJ d AH
ამოზნექილი	ɑ AJ m AD ɔ AK z AG n AE ɛ AJ kʰ AB i AJ l AC i AJ
ამოზნექილობა	ɑ AJ m AD ɔ AK z AG n AE ɛ AJ kʰ AB i AJ l AC ɔ AK b AL ɑ AJ
ამოთითხნილი	ɑ AJ m AD ɔ AK tʰ AI i AJ tʰ AI x BC n AE i AJ l AC i AJ
ამოიდო	ɑ AJ m AD ɔ AK i AJ d AH ɔ AK
ამოკლებს	ɑ AJ m AD ɔ AK kʼ AM l AC ɛ AJ b AL s AG
ამომწურავად	ɑ AJ m AD ɔ AK m AD t AH sʼ BF u AK r BA ɑ AJ v BE ɑ AJ d AH
ამომწურავი	ɑ AJ m AD ɔ AK m AD t AH sʼ BF u AK r BA ɑ AJ v BE i AJ
ამომჭმელი	ɑ AJ m AD ɔ AK m AD t AH ʃʼ BF m AD ɛ AJ l AC i AJ
ამორალური	ɑ AJ m AD ɔ AK r BA ɑ AJ l AC u AK r BA i AJ
ამორტიზაცია	ɑ AJ m AD ɔ AK r BA tʼ BB i AJ z AG ɑ AJ t AH s AG i AJ ɑ AJ
ამორფული	ɑ AJ m AD ɔ AK r BA pʰ AF u AK l AC i AJ
ამორჩეული	ɑ AJ m AD ɔ AK r BA t AH ʃ AG ɛ AJ u AK l AC i AJ
ამორძალი	ɑ AJ m AD ɔ AK r BA d AH z AG ɑ AJ l AC i AJ
ამოურჩეველი	ɑ AJ m AD ɔ AK u AK r BA t AH ʃ AG ɛ AJ v BE ɛ AJ l AC i AJ
ამოუწურავი	ɑ AJ m AD ɔ AK u AK t AH sʼ BF u AK r BA ɑ AJ v BE i AJ
ამოყვანილი	ɑ AJ m AD ɔ AK qʼ AM v BE ɑ AJ n AE i AJ l AC i AJ
ამოშვერილი	ɑ AJ m AD ɔ AK ʃ AG v BE ɛ AJ r BA i AJ l AC i AJ
ამოცანა	ɑ AJ m AD ɔ AK t AH s AG ɑ AJ n AE ɑ AJ
ამოცნობა	ɑ AJ m AD ɔ AK t AH s AG n AE ɔ AK b AL ɑ AJ
ამოძირკვავს	ɑ AJ m AD ɔ AK d AH z AG i AJ r BA kʼ AM v BE ɑ AJ v BE s AG
ამოხველება	ɑ AJ m AD ɔ AK x BC v BE ɛ AJ l AC ɛ AJ b AL ɑ AJ
ამპარტავანი	ɑ AJ m AD pʼ AN ɑ AJ r BA tʼ BB ɑ AJ v BE ɑ AJ n AE i AJ
ამპარტავნულად	ɑ AJ m AD pʼ AN ɑ AJ r BA tʼ BB ɑ AJ v BE n AE u AK l AC ɑ AJ d AH
ამპერი	ɑ AJ m AD pʼ AN ɛ AJ r BA i AJ
ამპერმეტრი	ɑ AJ m AD pʼ AN ɛ AJ r BA m AD ɛ AJ tʼ BB r BA i AJ
ამპლიტუდა	ɑ AJ m AD pʼ AN l AC i AJ tʼ BB u AK d AH ɑ AJ
ამპულა	ɑ AJ m AD pʼ AN u AK l AC ɑ AJ
ამპუტაცია	ɑ AJ m AD pʼ AN u AK tʼ BB ɑ AJ t AH s AG i AJ ɑ AJ
ამჟამად	ɑ AJ m AD ʒ AG ɑ AJ m AD ɑ AJ d AH
ამრავლებს	ɑ AJ m AD r BA ɑ AJ v BE l AC ɛ AJ b AL s AG
ამრგვალებს	ɑ AJ m AD r BA ɡ BD v BE ɑ AJ l AC ɛ AJ b AL s AG
ამრეკლავად	ɑ AJ m AD r BA ɛ AJ kʼ AM l AC ɑ AJ v BE ɑ AJ d AH
ამრეკლავი	ɑ AJ m AD r BA ɛ AJ kʼ AM l AC ɑ AJ v BE i AJ
ამსგავსებს	ɑ AJ m AD s AG ɡ BD ɑ AJ v BE s AG ɛ AJ b AL s AG
ამსტერდამი	ɑ AJ m AD s AG tʼ BB ɛ AJ r BA d AH ɑ AJ m AD i AJ
ამტანი	ɑ AJ m AD tʼ BB ɑ AJ n AE i AJ
ამტანობა	ɑ AJ m AD tʼ BB ɑ AJ n AE ɔ AK b AL ɑ AJ
ამტვრევს	ɑ AJ m AD tʼ BB v BE r BA ɛ AJ v BE s AG
ამუზია	ɑ AJ m AD u AK z AG i AJ ɑ AJ
ამულეტი	ɑ AJ m AD u AK l AC ɛ AJ tʼ BB i AJ
ამუშავებს	ɑ AJ m AD u AK ʃ AG ɑ AJ v BE ɛ AJ b AL s AG
ამუხრუჭებს	ɑ AJ m AD u AK x BC r BA u AK t AH ʃʼ BF ɛ AJ b AL s AG
ამფიბია	ɑ AJ m AD pʰ AF i AJ b AL i AJ ɑ AJ
ამფითეატრი	ɑ AJ m AD pʰ AF i AJ tʰ AI ɛ AJ ɑ AJ tʼ BB r BA i AJ
ამფორა	ɑ AJ m AD pʰ AF ɔ AK r BA ɑ AJ
ამღერებს	ɑ AJ m AD ɣ BC ɛ AJ r BA ɛ AJ b AL s AG
ამღვრეულობა	ɑ AJ m AD ɣ BC v BE r BA ɛ AJ u AK l AC ɔ AK b AL ɑ AJ
ამშვიდებს	ɑ AJ m AD ʃ AG v BE i AJ d AH ɛ AJ b AL s AG
ამჩნევს	ɑ AJ m AD t AH ʃ AG n AE ɛ AJ v BE s AG
ამძვრალი	ɑ AJ m AD d AH z AG v BE r BA ɑ AJ l AC i AJ
ამძიმებს	ɑ AJ m AD d AH z AG i AJ m AD ɛ AJ b AL s AG
ამწარებს	ɑ AJ m AD t AH sʼ BF ɑ AJ r BA ɛ AJ b AL s AG
ამწე	ɑ AJ m AD t AH sʼ BF ɛ AJ
ამწიფებს	ɑ AJ m AD t AH sʼ BF i AJ pʰ AF ɛ AJ b AL s AG
ამწნილებს	ɑ AJ m AD t AH sʼ BF n AE i AJ l AC ɛ AJ b AL s AG
ამხანაგი	ɑ AJ m AD x BC ɑ AJ n AE ɑ AJ ɡ BD i AJ
ამხანაგობა	ɑ AJ m AD x BC ɑ AJ n AE ɑ AJ ɡ BD ɔ AK b AL ɑ AJ
ამხედრებული	ɑ AJ m AD x BC ɛ AJ d AH r BA ɛ AJ b AL u AK l AC i AJ
ამჯობინებს	ɑ AJ m AD d AH ʒ AG ɔ AK b AL i AJ n AE ɛ AJ b AL s AG
ან	ɑ AJ n AE
ანა	ɑ AJ n AE ɑ AJ
ანაბარი	ɑ AJ n AE ɑ AJ b AL ɑ AJ r BA i AJ
