あ	a̠ AJ
あたいする	a̠ AJ t AH a̠ AJ i AJ s AG ɨᵝ ɾ BB ɯ̟ᵝ
あたいりく	a̠ AJ t AH a̠ AJ i AJ ɾʲ BI i AJ k AC ɯ̟ᵝ
あたう	a̠ AJ t AH a̠ AJ ɯ̟ᵝ
あたえる	a̠ AJ t AH a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
あたかも	a̠ AJ t AH a̠ AJ k AC a̠ AJ m AD o̞ AM
あたくし	a̠ AJ t AH a̠ AJ k AC ɯ̟̊ᵝ ɕ BC i AJ
あたご	a̠ AJ t AH a̠ AJ ɡ AC o̞ AM
あたし	a̠ AJ t AH a̠ AJ ɕ BC i AJ
あたたか	a̠ AJ t AH a̠ AJ t AH a̠ AJ k AC a̠ AJ
あたたかい	a̠ AJ t AH a̠ AJ t AH a̠ AJ k AC a̠ AJ i AJ
あたたまる	a̠ AJ t AH a̠ AJ t AH a̠ AJ m AD a̠ AJ ɾ BB ɯ̟ᵝ
あたためる	a̠ AJ t AH a̠ AJ t AH a̠ AJ m AD e̞ AJ ɾ BB ɯ̟ᵝ
あたま	a̠ AJ t AH a̠ AJ m AD a̠ AJ
あたまごなし	a̠ AJ t AH a̠ AJ m AD a̠ AJ ɡ AC o̞ AM n AE a̠ AJ ɕ BC i AJ
あたまじらみ	a̠ AJ t AH a̠ AJ m AD a̠ AJ ʑ BC i AJ ɾ BB a̠ AJ mʲ BG i AJ
あたまだかがた	a̠ AJ t AH a̠ AJ m AD a̠ AJ d AH a̠ AJ k AC a̠ AJ ɡ AC a̠ AJ t AH a̠ AJ
あたらしい	a̠ AJ t AH a̠ AJ ɾ BB a̠ AJ ɕ BC iː AK
あたりや	a̠ AJ t AH a̠ AJ ɾʲ BI i AJ j AB a̠ AJ
あたる	a̠ AJ t AH a̠ AJ ɾ BB ɯ̟ᵝ
あだ	a̠ AJ d AH a̠ AJ
あだかも	a̠ AJ d AH a̠ AJ k AC a̠ AJ m AD o̞ AM
あだな	a̠ AJ d AH a̠ AJ n AE a̠ AJ
あだばな	a̠ AJ d AH a̠ AJ b AF a̠ AJ n AE a̠ AJ
あちら	a̠ AJ t AH ɕ BC i AJ ɾ BB a̠ AJ
あちらこちら	a̠ AJ t AH ɕ BC i AJ ɾ BB a̠ AJ k AC o̞ AM t AH ɕ BC i AJ ɾ BB a̠ AJ
あっか	a̠ AJ k̚ k AC a̠ AJ
あっかん	a̠ AJ k̚ k AC ã̠ ɴ AI
あっけない	a̠ AJ k̚ k AC e̞ AJ n AE a̠ AJ i AJ
あっさく	a̠ AJ sː BD a̠ AJ k AC ɯ̟ᵝ
あっさぶ	a̠ AJ sː BD a̠ AJ b AF ɯ̟ᵝ
あっさり	a̠ AJ sː BD a̠ AJ ɾʲ BI i AJ
あっし	a̠ AJ ɕː BJ i AJ
あっせい	a̠ AJ sː BD e̞ː AK
あったかい	a̠ AJ t̚ t AH a̠ AJ k AC a̠ AJ i AJ
あっちいけ	a̠ AJ t̚ t AH ɕ BC i AJ i AJ k AC e̞ AJ
あっというま	a̠ AJ t̚ t AH o̞ AM i AJ ɯ̟ᵝ m AD a̠ AJ
あっといわせる	a̠ AJ t̚ t AH o̞ AM i AJ ɰᵝ a̠ AJ s AG e̞ AJ ɾ BB ɯ̟ᵝ
あっとうてき	a̠ AJ t̚ t AH o̞ː AL t AH e̞ AJ kʲ AC i AJ
あっとおどろく	a̠ AJ t̚ t AH o̞ AM o̞ AM d AH o̞ AM ɾ BB o̞ AM k AC ɯ̟ᵝ
あっぱれ	a̠ AJ p̚ p AF a̠ AJ ɾ BB e̞ AJ
あつ	a̠ AJ t AH s AG ɨᵝ
あつあつ	a̠ AJ t AH s AG ɨᵝ a̠ AJ t AH s AG ɨᵝ
あつい	a̠ AJ t AH s AG ɨᵝ i AJ
あつか	a̠ AJ t AH s AG ɨᵝ k AC a̠ AJ
あつかう	a̠ AJ t AH s AG ɨᵝ k AC a̠ AJ ɯ̟ᵝ
あつかましい	a̠ AJ t AH s AG ɨᵝ k AC a̠ AJ m AD a̠ AJ ɕ BC i AJ i AJ
あつかん	a̠ AJ t AH s AG ɨᵝ k AC ã̠ ɴ AI
あつがみ	a̠ AJ t AH s AG ɨᵝ ɡ AC a̠ AJ mʲ BG i AJ
あつくるしい	a̠ AJ t AH s AG ɨᵝ k AC ɯ̟ᵝ ɾ BB ɯ̟ᵝ ɕ BC iː AK
あつさしのぎ	a̠ AJ t AH s AG ɨᵝ s AG a̠ AJ ɕ BC i AJ n AE o̞ AM ɡʲ AC i AJ
あつし	a̠ AJ t AH s AG ɨᵝ ɕ BC i AJ
あつた	a̠ AJ t AH s AG ɨᵝ t AH a̠ AJ
あつひろ	a̠ AJ t AH s AG ɨᵝ ç i AJ ɾ BB o̞ AM
あつま	a̠ AJ t AH s AG ɨᵝ m AD a̠ AJ
あつまる	a̠ AJ t AH s AG ɨᵝ m AD a̠ AJ ɾ BB ɯ̟ᵝ
あつめる	a̠ AJ t AH s AG ɨᵝ m AD e̞ AJ ɾ BB ɯ̟ᵝ
あつらえる	a̠ AJ t AH s AG ɨᵝ ɾ BB a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
あつりょく	a̠ AJ t AH s AG ɨᵝ ɾʲ BI o̞ AM k AC ɯ̟ᵝ
あつりょくなべ	a̠ AJ t AH s AG ɨᵝ ɾʲ BI o̞ AM k AC ɯ̟ᵝ n AE a̠ AJ b AF e̞ AJ
あて	a̠ AJ t AH e̞ AJ
あてこむ	a̠ AJ t AH e̞ AJ k AC o̞ AM m AD ɯ̟ᵝ
あてじ	a̠ AJ t AH e̞ AJ ʑ BC i AJ
あてずっぽう	a̠ AJ t AH e̞ AJ z AG ɨᵝ p̚ p AF o̞ː AL
あてにげ	a̠ AJ t AH e̞ AJ ɲ̟ BF i AJ ɡ AC e̞ AJ
あてはまる	a̠ AJ t AH e̞ AJ h AA a̠ AJ m AD a̠ AJ ɾ BB ɯ̟ᵝ
あてはめる	a̠ AJ t AH e̞ AJ h AA a̠ AJ m AD e̞ AJ ɾ BB ɯ̟ᵝ
あてる	a̠ AJ t AH e̞ AJ ɾ BB ɯ̟ᵝ
あと	a̠ AJ t AH o̞ AM
あとあじ	a̠ AJ t AH o̞ AM a̠ AJ ʑ BC i AJ
あとかぶ	a̠ AJ t AH o̞ AM k AC a̠ AJ b AF ɯ̟ᵝ
あとがき	a̠ AJ t AH o̞ AM ɡ AC a̠ AJ kʲ AC i AJ
あとさき	a̠ AJ t AH o̞ AM s AG a̠ AJ kʲ AC i AJ
あとじたぼいん	k AC o̞ː AL z AG e̞ AJ t AH s AG ɨᵝ b AF o̞ AM ĩ ɴ AI
あとつぎ	a̠ AJ t AH o̞ AM t AH s AG ɨᵝ ɡʲ AC i AJ
あとにする	a̠ AJ t AH o̞ AM ɲ̟ BF i AJ s AG ɨᵝ ɾ BB ɯ̟ᵝ
あとのまつり	a̠ AJ t AH o̞ AM n AE o̞ AM m AD a̠ AJ t AH s AG ɨᵝ ɾʲ BI i AJ
あとまわし	a̠ AJ t AH o̞ AM m AD a̠ AJ ɰᵝ a̠ AJ ɕ BC i AJ
あとり	a̠ AJ t AH o̞ AM ɾʲ BI i AJ
あどけない	a̠ AJ d AH o̞ AM k AC e̞ AJ n AE a̠ AJ i AJ
あな	a̠ AJ n AE a̠ AJ
あなうさぎ	a̠ AJ n AE a̠ AJ ɯ̟ᵝ s AG a̠ AJ ɡʲ AC i AJ
あながあったらはいりたい	a̠ AJ n AE a̠ AJ ɡ AC a̠ AJ a̠ AJ t̚ t AH a̠ AJ ɾ BB a̠ AJ h AA a̠ AJ i AJ ɾʲ BI i AJ t AH a̠ AJ i AJ
あなぐま	a̠ AJ n AE a̠ AJ ɡ AC ɯ̟ᵝ m AD a̠ AJ
あなご	a̠ AJ n AE a̠ AJ ɡ AC o̞ AM
あなた	a̠ AJ n AE a̠ AJ t AH a̠ AJ
あなたがた	a̠ AJ n AE a̠ AJ t AH a̠ AJ ɡ AC a̠ AJ t AH a̠ AJ
あなたたち	a̠ AJ n AE a̠ AJ t AH a̠ AJ t AH a̠ AJ t AH ɕ BC i AJ
あなどり	a̠ AJ n AE a̠ AJ d AH o̞ AM ɾʲ BI i AJ
あなどる	a̠ AJ n AE a̠ AJ d AH o̞ AM ɾ BB ɯ̟ᵝ
あなば	a̠ AJ n AE a̠ AJ b AF a̠ AJ
あなん	a̠ AJ n AE ã̠ ɴ AI
あに	a̠ AJ ɲ̟ BF i AJ
あにうえ	a̠ AJ ɲ̟ BF i AJ ɯ̟ᵝ e̞ AJ
あにき	a̠ AJ ɲ̟ BF i AJ kʲ AC i AJ
あにぶん	a̠ AJ ɲ̟ BF i AJ b AF ɯ̟̃ᵝ ɴ AI
あね	a̠ AJ n AE e̞ AJ
あねうえ	a̠ AJ n AE e̞ AJ ɯ̟ᵝ e̞ AJ
あねき	a̠ AJ n AE e̞ AJ kʲ AC i AJ
あねったい	a̠ AJ n AE e̞ AJ t̚ t AH a̠ AJ i AJ
あねはづる	a̠ AJ n AE e̞ AJ h AA a̠ AJ z AG ɨᵝ ɾ BB ɯ̟ᵝ
あねぶん	a̠ AJ n AE e̞ AJ b AF ɯ̟̃ᵝ ɴ AI
あの	a̠ AJ n AE o̞ AM
あのう	a̠ AJ n AE o̞ː AL
あのかた	a̠ AJ n AE o̞ AM k AC a̠ AJ t AH a̠ AJ
あのかたがた	a̠ AJ n AE o̞ AM k AC a̠ AJ t AH a̠ AJ ɡ AC a̠ AJ t AH a̠ AJ
あのくたらさんみゃくさんぼだい	a̠ AJ n AE o̞ AM k AC ɯ̟ᵝ t AH a̠ AJ ɾ BB a̠ AJ s AG ã̠ mʲː BK a̠ AJ k AC ɯ̟ᵝ s AG ã̠ m AD b AF o̞ AM d AH a̠ AJ i AJ
あのね	a̠ AJ n AE o̞ AM n AE e̞ AJ
あのひと	a̠ AJ n AE o̞ AM ç i̥ AJ t AH o̞ AM
あのひとたち	a̠ AJ n AE o̞ AM ç i̥ AJ t AH o̞ AM t AH a̠ AJ t AH ɕ BC i AJ
あのよ	a̠ AJ n AE o̞ AM j AB o̞ AM
あば	a̠ AJ b AF a̠ AJ
あばく	a̠ AJ b AF a̠ AJ k AC ɯ̟ᵝ
あばずれ	a̠ AJ b AF a̠ AJ z AG ɨᵝ ɾ BB e̞ AJ
あばよ	a̠ AJ b AF a̠ AJ j AB o̞ AM
あばら	a̠ AJ b AF a̠ AJ ɾ BB a̠ AJ
あばらぼね	a̠ AJ b AF a̠ AJ ɾ BB a̠ AJ b AF o̞ AM n AE e̞ AJ
あばれる	a̠ AJ b AF a̠ AJ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
あひさん	a̠ AJ ç i AJ s AG ã̠ ɴ AI
あひる	a̠ AJ ç i AJ ɾ BB ɯ̟ᵝ
あひるすわり	a̠ AJ ç i AJ ɾ BB ɯ̟ᵝ s AG ɨᵝ ɰᵝ a̠ AJ ɾʲ BI i AJ
あび	a̠ AJ bʲ BH i AJ
あびきょうかん	a̠ AJ bʲ BH i AJ kʲ AC o̞ː AL k AC ã̠ ɴ AI
あびこ	a̠ AJ bʲ BH i AJ k AC o̞ AM
あびる	a̠ AJ bʲ BH i AJ ɾ BB ɯ̟ᵝ
あふれかえる	a̠ AJ ɸ BE ɯ̟ᵝ ɾ BB e̞ AJ k AC a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
あふれでる	a̠ AJ ɸ BE ɯ̟ᵝ ɾ BB e̞ AJ d AH e̞ AJ ɾ BB ɯ̟ᵝ
あふれる	a̠ AJ ɸ BE ɯ̟ᵝ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
あぶ	a̠ AJ b AF ɯ̟ᵝ
あぶない	a̠ AJ b AF ɯ̟ᵝ n AE a̠ AJ i AJ
あぶなっかしい	a̠ AJ b AF ɯ̟ᵝ n AE a̠ AJ k̚ k AC a̠ AJ ɕ BC iː AK
あぶら	a̠ AJ b AF ɯ̟ᵝ ɾ BB a̠ AJ
あぶらつのざめ	a̠ AJ b AF ɯ̟ᵝ ɾ BB a̠ AJ t AH s AG ɨᵝ n AE o̞ AM z AG a̠ AJ m AD e̞ AJ
あぶらとりがみ	a̠ AJ b AF ɯ̟ᵝ ɾ BB a̠ AJ t AH o̞ AM ɾʲ BI i AJ ɡ AC a̠ AJ mʲ BG i AJ
あぶらよたか	a̠ AJ b AF ɯ̟ᵝ ɾ BB a̠ AJ j AB o̞ AM t AH a̠ AJ k AC a̠ AJ
あぶる	a̠ AJ b AF ɯ̟ᵝ ɾ BB ɯ̟ᵝ
あへがお	a̠ AJ h AA e̞ AJ ɡ AC a̠ AJ o̞ AM
あへん	a̠ AJ h AA ẽ̞ ɴ AI
あほう	a̠ AJ h AA o̞ː AL
あほうどり	a̠ AJ h AA o̞ː AL d AH o̞ AM ɾʲ BI i AJ
あほくさい	a̠ AJ h AA o̞ AM k AC ɯ̟ᵝ s AG a̠ AJ i AJ
あま	a̠ AJ m AD a̠ AJ
あまい	a̠ AJ m AD a̠ AJ i AJ
あまいろ	a̠ AJ m AD a̠ AJ i AJ ɾ BB o̞ AM
あまえる	a̠ AJ m AD a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
あまえんぼう	a̠ AJ m AD a̠ AJ ẽ̞ m AD b AF o̞ː AL
あまおと	a̠ AJ m AD a̠ AJ o̞ AM t AH o̞ AM
あまからい	a̠ AJ m AD a̠ AJ k AC a̠ AJ ɾ BB a̠ AJ i AJ
あまがえる	a̠ AJ m AD a̠ AJ ɡ AC a̠ AJ e̞ AJ ɾ BB ɯ̟ᵝ
あまがつ	a̠ AJ m AD a̠ AJ ɡ AC a̠ AJ t AH s AG ɨᵝ
あまがみ	a̠ AJ m AD a̠ AJ ɡ AC a̠ AJ mʲ BG i AJ
あまぎ	a̠ AJ m AD a̠ AJ ɡʲ AC i AJ
あまくさ	a̠ AJ m AD a̠ AJ k AC ɯ̟ᵝ s AG a̠ AJ
あまくだり	a̠ AJ m AD a̠ AJ k AC ɯ̟ᵝ d AH a̠ AJ ɾʲ BI i AJ
あまぐつ	a̠ AJ m AD a̠ AJ ɡ AC ɯ̟ᵝ t AH s AG ɨᵝ
あまぐも	a̠ AJ m AD a̠ AJ ɡ AC ɯ̟ᵝ m AD o̞ AM
あます	a̠ AJ m AD a̠ AJ s AG ɨᵝ
あまた	a̠ AJ m AD a̠ AJ t AH a̠ AJ
あまだれ	a̠ AJ m AD a̠ AJ d AH a̠ AJ ɾ BB e̞ AJ
あまっちょろい	a̠ AJ m AD a̠ AJ t̚ t AH ɕ BC o̞ AM ɾ BB o̞ AM i AJ
あまつばめ	a̠ AJ m AD a̠ AJ t AH s AG ɨᵝ b AF a̠ AJ m AD e̞ AJ
あまつまら	a̠ AJ m AD a̠ AJ t AH s AG ɨᵝ m AD a̠ AJ ɾ BB a̠ AJ
あまてらす	a̠ AJ m AD a̠ AJ t AH e̞ AJ ɾ BB a̠ AJ s AG ɨᵝ
あまでら	a̠ AJ m AD a̠ AJ d AH e̞ AJ ɾ BB a̠ AJ
あまとう	a̠ AJ m AD a̠ AJ t AH o̞ː AL
あまねく	a̠ AJ m AD a̠ AJ n AE e̞ AJ k AC ɯ̟ᵝ
あまねし	a̠ AJ m AD a̠ AJ n AE e̞ AJ ɕ BC i AJ
あまのがわ	a̠ AJ m AD a̠ AJ n AE o̞ AM ɡ AC a̠ AJ ɰᵝ a̠ AJ
あまのじゃく	a̠ AJ m AD a̠ AJ n AE o̞ AM ʑ BC a̠ AJ k AC ɯ̟ᵝ
あまのむらくものつるぎ	a̠ AJ m AD a̠ AJ n AE o̞ AM m AD ɯ̟ᵝ ɾ BB a̠ AJ k AC ɯ̟ᵝ m AD o̞ AM n AE o̞ AM t AH s AG ɨᵝ ɾ BB ɯ̟ᵝ ɡʲ AC i AJ
あまみ	a̠ AJ m AD a̠ AJ mʲ BG i AJ
あまみず	a̠ AJ m AD a̠ AJ mʲ BG i AJ z AG ɨᵝ
あまみなみ	a̠ AJ m AD a̠ AJ mʲ BG i AJ n AE a̠ AJ mʲ BG i AJ
あまみや	a̠ AJ m AD a̠ AJ mʲ BG i AJ j AB a̠ AJ
あまやかす	a̠ AJ m AD a̠ AJ j AB a̠ AJ k AC a̠ AJ s AG ɨᵝ
あまり	a̠ AJ m AD a̠ AJ ɾʲ BI i AJ
あまる	a̠ AJ m AD a̠ AJ ɾ BB ɯ̟ᵝ
あみ	a̠ AJ mʲ BG i AJ
あみぐるみ	a̠ AJ mʲ BG i AJ ɡ AC ɯ̟ᵝ ɾ BB ɯ̟ᵝ mʲ BG i AJ
あみだくじ	a̠ AJ mʲ BG i AJ d AH a̠ AJ k AC ɯ̟ᵝ ʑ BC i AJ
あみだな	a̠ AJ mʲ BG i AJ d AH a̠ AJ n AE a̠ AJ
あみだぶつ	a̠ AJ mʲ BG i AJ d AH a̠ AJ b AF ɯ̟ᵝ t AH s AG ɨᵝ
あみてん	a̠ AJ mʲ BG i AJ t AH ẽ̞ ɴ AI
あみの	a̠ AJ mʲ BG i AJ n AE o̞ AM
あみめにしきへび	a̠ AJ mʲ BG i AJ m AD e̞ AJ ɲ̟ BF i AJ ɕ BC i AJ kʲ AC i AJ h AA e̞ AJ bʲ BH i AJ
あみもの	a̠ AJ mʲ BG i AJ m AD o̞ AM n AE o̞ AM
あむ	a̠ AJ m AD ɯ̟ᵝ
あめ	a̠ AJ m AD e̞ AJ
あめあがり	a̠ AJ m AD e̞ AJ a̠ AJ ɡ AC a̠ AJ ɾʲ BI i AJ
あめがした	a̠ AJ m AD e̞ AJ ŋ AI a̠ AJ ɕ BC i̥ AJ t AH a̠ AJ
あめだま	a̠ AJ m AD e̞ AJ d AH a̠ AJ m AD a̠ AJ
あめのした	a̠ AJ m AD e̞ AJ n AE o̞ AM ɕ BC i̥ AJ t AH a̠ AJ
あめふり	a̠ AJ m AD e̞ AJ ɸ BE ɯ̟ᵝ ɾʲ BI i AJ
あめもよう	a̠ AJ m AD e̞ AJ m AD o̞ AM j AB o̞ː AL
あめんぼ	s AG ɨᵝ i AJ b AF a̠ AJ
あめんぼう	a̠ AJ m AD ẽ̞ m AD b AF o̞ː AL
あもく	a̠ AJ m AD o̞ AM k AC ɯ̟ᵝ
あやうい	a̠ AJ j AB a̠ AJ ɯ̟ᵝ i AJ
あやか	a̠ AJ j AB a̠ AJ k AC a̠ AJ
あやかる	a̠ AJ j AB a̠ AJ k AC a̠ AJ ɾ BB ɯ̟ᵝ
あやしい	a̠ AJ j AB a̠ AJ ɕ BC iː AK
あやつる	a̠ AJ j AB a̠ AJ t AH s AG ɨᵝ ɾ BB ɯ̟ᵝ
あやとり	a̠ AJ j AB a̠ AJ t AH o̞ AM ɾʲ BI i AJ
あやぶむ	a̠ AJ j AB a̠ AJ b AF ɯ̟ᵝ m AD ɯ̟ᵝ
あやまち	a̠ AJ j AB a̠ AJ m AD a̠ AJ t AH ɕ BC i AJ
あやまつ	a̠ AJ j AB a̠ AJ m AD a̠ AJ t AH s AG ɨᵝ
あやまる	a̠ AJ j AB a̠ AJ m AD a̠ AJ ɾ BB ɯ̟ᵝ
あやめ	a̠ AJ j AB a̠ AJ m AD e̞ AJ
あやめる	a̠ AJ j AB a̠ AJ m AD e̞ AJ ɾ BB ɯ̟ᵝ
あゆ	a̠ AJ j AB ɯ̟ᵝ
あゆこ	a̠ AJ j AB ɯ̟ᵝ k AC o̞ AM
あゆみ	a̠ AJ j AB ɯ̟ᵝ mʲ BG i AJ
あゆむ	a̠ AJ j AB ɯ̟ᵝ m AD ɯ̟ᵝ
あら	a̠ AJ ɾ BB a̠ AJ
あらあら	a̠ AJ ɾ BB a̠ː AK ɾ BB a̠ AJ
あらあらしい	a̠ AJ ɾ BB a̠ AJ a̠ AJ ɾ BB a̠ AJ ɕ BC i AJ i AJ
あらい	a̠ AJ ɾ BB a̠ AJ i AJ
あらいぐま	a̠ AJ ɾ BB a̠ AJ i AJ ɡ AC ɯ̟ᵝ m AD a̠ AJ
あらう	a̠ AJ ɾ BB a̠ AJ ɯ̟ᵝ
あらかた	a̠ AJ ɾ BB a̠ AJ k AC a̠ AJ t AH a̠ AJ
あらかん	a̠ AJ ɾ BB a̠ AJ k AC ã̠ ɴ AI
あらがう	a̠ AJ ɾ BB a̠ AJ ɡ AC a̠ AJ ɯ̟ᵝ
あらけずり	a̠ AJ ɾ BB a̠ AJ k AC e̞ AJ z AG ɨᵝ ɾʲ BI i AJ
あらさき	a̠ AJ ɾ BB a̠ AJ s AG a̠ AJ kʲ AC i AJ
あらし	a̠ AJ ɾ BB a̠ AJ ɕ BC i AJ
あらす	a̠ AJ ɾ BB a̠ AJ s AG ɨᵝ
あらすじ	a̠ AJ ɾ BB a̠ AJ s AG ɨᵝ ʑ BC i AJ
あらそい	a̠ AJ ɾ BB a̠ AJ s AG o̞ AM i AJ
あらそう	a̠ AJ ɾ BB a̠ AJ s AG o̞ AM ɯ̟ᵝ
あらた	a̠ AJ ɾ BB a̠ AJ t AH a̠ AJ
あらたまる	a̠ AJ ɾ BB a̠ AJ t AH a̠ AJ m AD a̠ AJ ɾ BB ɯ̟ᵝ
あらためて	a̠ AJ ɾ BB a̠ AJ t AH a̠ AJ m AD e̞ AJ t AH e̞ AJ
あらためる	a̠ AJ ɾ BB a̠ AJ t AH a̠ AJ m AD e̞ AJ ɾ BB ɯ̟ᵝ
あらっぽい	a̠ AJ ɾ BB a̠ AJ p̚ p AF o̞ AM i AJ
あらて	a̠ AJ ɾ BB a̠ AJ t AH e̞ AJ
あらぬ	a̠ AJ ɾ BB a̠ AJ n AE ɯ̟ᵝ
あらねつ	a̠ AJ ɾ BB a̠ AJ n AE e̞ AJ t AH s AG ɨᵝ
あらぶる	a̠ AJ ɾ BB a̠ AJ b AF ɯ̟ᵝ ɾ BB ɯ̟ᵝ
あらまあ	a̠ AJ ɾ BB a̠ AJ m AD a̠ː AK
あらみたま	a̠ AJ ɾ BB a̠ AJ mʲ BG i AJ t AH a̠ AJ m AD a̠ AJ
あらめ	a̠ AJ ɾ BB a̠ AJ m AD e̞ AJ
あらやしき	a̠ AJ ɾ BB a̠ AJ j AB a̠ AJ ɕ BC i AJ kʲ AC i AJ
あらゆる	a̠ AJ ɾ BB a̠ AJ j AB ɯ̟ᵝ ɾ BB ɯ̟ᵝ
あらら	a̠ AJ ɾ BB a̠ AJ ɾ BB a̠ AJ
あられ	a̠ AJ ɾ BB a̠ AJ ɾ BB e̞ AJ
あられいし	a̠ AJ ɾ BB a̠ AJ ɾ BB e̞ AJ i AJ ɕ BC i AJ
あられもない	a̠ AJ ɾ BB a̠ AJ ɾ BB e̞ AJ m AD o̞ AM n AE a̠ AJ i AJ
あらわす	a̠ AJ ɾ BB a̠ AJ ɰᵝ a̠ AJ s AG ɨᵝ
あらわれる	a̠ AJ ɾ BB a̠ AJ ɰᵝ a̠ AJ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
ありあけ	a̠ AJ ɾʲ BI i AJ a̠ AJ k AC e̞ AJ
ありうる	a̠ AJ ɾʲ BI i AJ ɯ̟ᵝ ɾ BB ɯ̟ᵝ
ありがたい	a̠ AJ ɾʲ BI i AJ ɡ AC a̠ AJ t AH a̠ AJ i AJ
ありがと	a̠ AJ ɾʲ BI i AJ ɡ AC a̠ AJ t AH o̞ AM
ありがとう	a̠ AJ ɾʲ BI i AJ ɡ AC a̠ AJ t AH o̞ː AL
ありきたり	a̠ AJ ɾʲ BI i AJ kʲ AC i AJ t AH a̠ AJ ɾʲ BI i AJ
ありくい	a̠ AJ ɾʲ BI i AJ k AC ɯ̟ᵝ i AJ
ありじごく	a̠ AJ ɾʲ BI i AJ ʑ BC i AJ ɡ AC o̞ AM k AC ɯ̟ᵝ
ありすがわ	a̠ AJ ɾʲ BI i AJ s AG ɨᵝ ɡ AC a̠ AJ ɰᵝ a̠ AJ
ありのこ	a̠ AJ ɾʲ BI i AJ n AE o̞ AM k AC o̞ AM
ありふれる	a̠ AJ ɾʲ BI i AJ ɸ BE ɯ̟ᵝ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
ありやす	a̠ AJ ɾʲ BI i AJ j AB a̠ AJ s AG ɨᵝ
ありゅうさん	a̠ AJ ɾʲ BI ɨᵝː s AG ã̠ ɴ AI
ありんさん	a̠ AJ ɾʲ BI ĩ ɰ̃ AB s AG ã̠ ɴ AI
ある	a̠ AJ ɾ BB ɯ̟ᵝ
あるある	a̠ AJ ɾ BB ɯ̟ᵝ a̠ AJ ɾ BB ɯ̟ᵝ
あるいは	a̠ AJ ɾ BB ɯ̟ᵝ i AJ ɰᵝ a̠ AJ
あるきまわる	a̠ AJ ɾ BB ɯ̟ᵝ kʲ AC i AJ m AD a̠ AJ ɰᵝ a̠ AJ ɾ BB ɯ̟ᵝ
あるきみこ	a̠ AJ ɾ BB ɯ̟ᵝ kʲ AC i AJ mʲ BG i AJ k AC o̞ AM
あるく	a̠ AJ ɾ BB ɯ̟ᵝ k AC ɯ̟ᵝ
あるじ	a̠ AJ ɾ BB ɯ̟ᵝ ʑ BC i AJ
あれ	a̠ AJ ɾ BB e̞ AJ
あれい	a̠ AJ ɾ BB e̞ː AK
あれこれ	a̠ AJ ɾ BB e̞ AJ k AC o̞ AM ɾ BB e̞ AJ
あれはだ	a̠ AJ ɾ BB e̞ AJ h AA a̠ AJ d AH a̠ AJ
あれはてる	a̠ AJ ɾ BB e̞ AJ h AA a̠ AJ t AH e̞ AJ ɾ BB ɯ̟ᵝ
あれら	a̠ AJ ɾ BB e̞ AJ ɾ BB a̠ AJ
あれる	a̠ AJ ɾ BB e̞ AJ ɾ BB ɯ̟ᵝ
あろうことか	a̠ AJ ɾ BB o̞ː AL k AC o̞ AM t AH o̞ AM k AC a̠ AJ
あわ	a̠ AJ ɰᵝ a̠ AJ
あわうみ	a̠ AJ ɰᵝ a̠ AJ ɯ̟ᵝ mʲ BG i AJ
あわす	a̠ AJ ɰᵝ a̠ AJ s AG ɨᵝ
あわせ	a̠ AJ ɰᵝ a̠ AJ s AG e̞ AJ
あわせる	a̠ AJ ɰᵝ a̠ AJ s AG e̞ AJ ɾ BB ɯ̟ᵝ
あわただしい	a̠ AJ ɰᵝ a̠ AJ t AH a̠ AJ d AH a̠ AJ ɕ BC i AJ i AJ
あわだてき	a̠ AJ ɰᵝ a̠ AJ d AH a̠ AJ t AH e̞ AJ kʲ AC i AJ
あわてる	a̠ AJ ɰᵝ a̠ AJ t AH e̞ AJ ɾ BB ɯ̟ᵝ
あわもり	a̠ AJ ɰᵝ a̠ AJ m AD o̞ AM ɾʲ BI i AJ
あわや	a̠ AJ ɰᵝ a̠ AJ j AB a̠ AJ
あわよくば	a̠ AJ ɰᵝ a̠ AJ j AB o̞ AM k AC ɯ̟ᵝ b AF a̠ AJ
あわれ	a̠ AJ ɰᵝ a̠ AJ ɾ BB e̞ AJ
あわれみ	a̠ AJ ɰᵝ a̠ AJ ɾ BB e̞ AJ mʲ BG i AJ
あわれむ	a̠ AJ ɰᵝ a̠ AJ ɾ BB e̞ AJ m AD ɯ̟ᵝ
あん	ã̠ ɴ AI
あんうつ	ã̠ ɰ̃ AB ɯ̟ᵝ t AH s AG ɨᵝ
あんえい	a̠ AJ ɴ AI e̞ː AK
あんき	ã̠ ŋʲ AI kʲ AC i AJ
あんきも	ã̠ ŋʲ AI kʲ AC i AJ m AD o̞ AM
あんこ	ã̠ ŋ AI k AC o̞ AM
あんこう	ã̠ ŋ AI k AC o̞ː AL
あんこく	ã̠ ŋ AI k AC o̞ AM k AC ɯ̟ᵝ
